ID,Iso_ID,reference,DOI,site_id,date,latlong,latlong_n,year,site_description,catchment_name,compound,d13C_value_permil,d13C_uncertainty,d13C_uncertainty_unit,dD.CH4_value_permil,dD.CH4_uncertainty,dD.CH4_uncertainty_unit,pub_code_prefix,pub_code_number,F14C_value,F14C_value_uncertainity,F14C_value_uncertainity_unit,D14C_permil_value,D14C_permil_value_uncertainty,D14C_permil_value_uncertaint_unit,radiocarbon_age,radiocarbon_age_uncertainty,pH,latitude,longitude,country,hemisphere,Atm_14CO2,norm_F14C,water_type,method,comment,temperature_celsius,coordinate_flag,uncertainity.flag,watershed_size_exact_km2,watershed_size_indicative_km2,size_class,size_class_multi,catchment_area_km2,dis_m3_pyr,lka_pc_use,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,snw_pc_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,kar_pc_use,ero_kh_uav,urb_pc_use,hft_ix_u09,ele_mt_cav,tmp_dc_cyr,pre_mm_cyr,ari_ix_cav,snw_pc_cyr,wet_pc_cg2,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse,ero_kh_cav,urb_pc_cse,hft_ix_c09,gwt_cm_cav,tbi_cl_cmj,fmh_cl_cmj,lit_cl_cmj,DIC_conc
19,376,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,3,31/03/2014,-82.28298602,2,2014,River,Colorado River,DIC,-7.6,0.1,permil,NA,NA,,,,0.889,0.006,fraction modern,-118,3,permil,945,54.5,,32.52443838,-114.8074244,USA,N,1.0262,0.8663,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,620000,large,1000000,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,1898.417985
20,381,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,4,29/03/2014,-82.3458583,2,2014,River,Colorado River,DIC,-7.5,0.1,permil,NA,NA,,,,0.8846,0.006,fraction modern,-122,3,permil,985,55,,32.4797526,-114.8256109,Mexico,N,1.0262,0.862,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,630000,large,1000000,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,1457.119067
21,383,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,4,17/04/2014,-82.3458583,2,2014,River,Colorado River,DIC,-8.5,0.1,permil,NA,NA,,,,0.9063,0.006,fraction modern,-101,3,permil,790,53.5,,32.4797526,-114.8256109,Mexico,N,1.0262,0.8832,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,630000,large,1000000,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,2789.342215
22,385,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,5,17/04/2014,-82.45128926,1,2014,River,Colorado River,DIC,-6.8,0.1,permil,NA,NA,,,,0.8808,0.006,fraction modern,-126,3,permil,1020,55,,32.48259204,-114.9338813,Mexico,N,1.0262,0.8583,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,640000,large,1000000,617438,127.377,3,1702,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,21,228,72,4,0,0,0,21,12,46,0,0,19,28,53,4,0,244,0,141,33,13,4,3,2489.592007
23,387,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A2,28/02/2006,52.548608,4,2006,Peatland Stream ,Black Burn,DIC,-22.8,0.1,permil,NA,NA,,SUERC,10446,0.9504,0.0041,1 sd,-56,8.1,permil,458,35,6.24,55.79333,-3.244722,United Kingdom,N,1.0619,0.895,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",2.7,C,A,0.1,0,small,10,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,712.3
24,388,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A2,29/05/2006,52.548608,4,2006,Peatland Stream ,Black Burn,DIC,-17.2,0.1,permil,NA,NA,,SUERC,10990,0.9423,0.0041,1 sd,-64,8.1,permil,537,35,6.24,55.79333,-3.244722,United Kingdom,N,1.0619,0.8874,Stream,Chamber evasion linked to zeolite molecular sieve,Original measured value,9.3,C,A,0.1,0,small,10,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,858.4
25,389,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A10,28/02/2006,52.548608,4,2006,Peatland Stream ,Black Burn,DIC,-17.4,0.1,permil,NA,NA,,SUERC,10447,0.9149,0.004,1 sd,-91,7.9,permil,1067,35,5.87,55.79333,-3.244722,United Kingdom,N,1.0619,0.8616,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",1.4,C,A,3.4,3,small,10,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,481.8
26,390,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A10,29/05/2006,52.548608,4,2006,Peatland Stream ,Black Burn,DIC,-16.7,0.1,permil,NA,NA,,SUERC,10991,0.8951,0.0039,1 sd,-111,7.7,permil,1039,35,6.37,55.79333,-3.244722,United Kingdom,N,1.0619,0.8429,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",10.1,C,A,3.4,3,small,10,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,387.6
27,391,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,CHS,19/04/2006,51.55062018,4,2006,Peatland headwater,Cottage Hill Sike,DIC,-16.7,0.1,permil,NA,NA,,SUERC,10992,0.8095,0.0035,1 sd,-196,7,permil,2188,35,4.2,54.45127927,-2.90065909,United Kingdom,N,1.0619,0.7623,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",6.5,C,A,0.2,0,small,10,4.6,0.145,0,407,192,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,407,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,647,4,7,6,528.3
28,392,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,CHS,27/07/2006,51.55062018,4,2006,Peatland headwater,Cottage Hill Sike,DIC,-15.5,0.1,permil,NA,NA,,SUERC,11713,0.8742,0.0038,1 sd,-132,7.5,permil,1156,35,5.59,54.45127927,-2.90065909,United Kingdom,N,1.0619,0.8232,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",19.9,C,A,0.2,0,small,10,4.6,0.145,0,407,192,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,407,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,647,4,7,6,1053.1
